           Site    Lat    Lon  Altitude
0  Klerefontein -30.97  21.98      1000
-30:58:12.0 21:58:48.0 70.0
3Cet	00:04:30.1	-10:30:33.8	2015/8/10 01:24:32	69:27:21.3	North	20.54
Phi1Cet	00:44:11.4	-10:36:33.8	2015/8/10 02:04:06	69:33:28.2	North	20.44
EtaCet	01:08:35.4	-10:10:55.9	2015/8/10 02:28:26	69:07:59.9	North	20.87
ChiCet	01:49:35.0	-10:41:11.0	2015/8/10 03:09:18	69:38:36.8	North	20.36
ZetCet	01:51:27.6	-10:20:06.0	2015/8/10 03:11:10	69:17:33.6	North	20.71
RhoCet	02:25:57.0	-12:17:26.2	2015/8/10 03:45:33	71:15:17.2	North	18.75
EpsCet	02:39:33.7	-11:52:19.9	2015/8/10 03:59:07	70:50:23.4	North	19.16
EpsEri	03:32:55.8	-09:27:29.9	2015/8/10 04:52:20	68:26:31.4	North	21.56
DelEri	03:43:14.9	-09:45:47.9	2015/8/10 05:02:37	68:45:00.7	North	21.25
PiEri	03:46:08.5	-12:06:06.1	2015/8/10 05:05:30	71:05:18.9	North	18.91
39Eri	04:14:23.7	-10:15:23.0	2015/8/10 05:33:40	69:15:12.7	North	20.75
64Eri	04:59:55.8	-12:32:15.0	2015/8/10 06:19:04	71:33:00.6	North	18.45
IotLep	05:12:17.9	-11:52:09.1	2015/8/10 06:31:24	70:53:12.3	North	19.11
KapLep	05:13:13.9	-12:56:29.0	2015/8/10 06:32:19	71:57:32.0	North	18.04
KapOri	05:47:45.4	-09:40:10.9	2015/8/10 07:06:46	68:42:05.7	North	21.30
3Mon	06:01:50.4	-10:35:53.2	2015/8/10 07:20:48	69:38:06.2	North	20.36
TheCMa	06:54:11.4	-12:02:19.0	2015/8/10 08:13:00	71:05:41.4	North	18.91
AlpMon	07:41:14.8	-09:33:04.0	2015/8/10 08:59:57	68:37:30.1	North	21.37
6Hya	08:40:01.5	-12:28:31.1	2015/8/10 09:58:33	71:34:00.9	North	18.43
26Hya	09:19:46.3	-11:58:30.0	2015/8/10 10:38:12	71:04:38.3	North	18.92
27Hya	09:20:28.9	-09:33:20.9	2015/8/10 10:38:55	68:39:32.4	North	21.34
LamHya	10:10:35.3	-12:21:15.1	2015/8/10 11:28:44	71:28:00.4	North	18.53
EpsCrt	11:24:36.6	-10:51:33.8	2015/8/10 12:42:59	69:58:49.9	North	20.02
TheCrt	11:36:40.9	-09:48:07.9	2015/8/10 12:54:47	68:55:27.0	North	21.08
PsiVir	12:54:21.1	-09:32:20.0	2015/8/10 14:12:16	68:39:29.6	North	21.34
AlpVir	13:25:11.5	-11:09:41.0	2015/8/10 14:43:02	70:16:35.6	North	19.72
KapVir	14:12:53.8	-10:16:25.0	2015/8/10 15:30:38	69:22:48.8	North	20.62
BetLib	15:17:00.4	-09:22:59.2	2015/8/10 16:34:34	68:28:24.1	North	21.53
EpsLib	15:24:11.9	-10:19:19.9	2015/8/10 16:41:45	69:24:36.3	North	20.59
37Lib	15:34:10.7	-10:03:51.8	2015/8/10 16:51:42	69:08:57.3	North	20.85
XiSco	16:04:22.1	-11:22:23.2	2015/8/10 17:21:50	70:26:52.2	North	19.55
PsiSco	16:12:00.0	-10:03:51.1	2015/8/10 17:29:26	69:08:11.7	North	20.86
ZetOph	16:37:09.5	-10:34:01.9	2015/8/10 17:54:32	69:37:50.0	North	20.37
20Oph	16:49:49.9	-10:46:59.2	2015/8/10 18:07:10	69:50:30.5	North	20.16
NuSer	17:20:49.7	-12:50:48.8	2015/8/10 18:38:06	71:53:36.7	North	18.11
OmiSer	17:41:24.9	-12:52:31.1	2015/8/10 18:58:38	71:54:50.7	North	18.09
NuOph	17:59:01.6	-09:46:25.0	2015/8/10 19:16:11	68:48:22.9	North	21.19
DelSct	18:42:16.3	-09:03:09.0	2015/8/10 19:59:18	68:04:08.5	North	21.93
Alp1Cap	20:17:38.9	-12:30:29.9	2015/8/10 21:34:26	71:29:26.4	North	18.51
Alp2Cap	20:18:03.3	-12:32:40.9	2015/8/10 21:34:50	71:31:36.9	North	18.47
NuCap	20:20:39.7	-12:45:33.1	2015/8/10 21:37:26	71:44:26.0	North	18.26
EpsAqr	20:47:40.6	-09:29:44.9	2015/8/10 22:04:21	68:28:12.7	North	21.53
NuAqr	21:09:35.6	-11:22:18.1	2015/8/10 22:26:13	70:20:22.8	North	19.66
SigAqr	22:30:38.8	-10:40:41.2	2015/8/10 23:47:01	69:37:49.1	North	20.37
Psi1Aqr	23:15:53.5	-09:05:16.1	2015/8/10 00:36:16	68:02:09.5	North	21.96
Psi2Aqr	23:17:54.1	-09:10:57.0	2015/8/10 00:38:17	68:07:49.8	North	21.87
Psi3Aqr	23:18:57.7	-09:36:38.9	2015/8/10 00:39:20	68:33:30.9	North	21.44
closing the file
