StarName,Time
KapCen,2015-08-02-164753
KapCen,2015-08-02-164537
KapCen,2015-08-02-164355
DelLup,2015-08-02-170957
DelLup,2015-08-02-171031
DelLup,2015-08-02-171139
XiOph,2015-08-08-184444
XiOph,2015-08-08-184829
21Sgr,2015-08-08-195314
21Sgr,2015-08-08-194928
LamGru,2015-08-02-235037
LamGru,2015-08-02-235109
20Oph,2015-08-09-181700
20Oph,2015-08-09-181733
NuSer,2015-08-09-184247
OmiSer,2015-08-09-190102
NuOph,2015-08-09-191947
NuOph,2015-08-09-192051
SigAqr,2015-08-09-235041
3Cet,2015-08-10-012443


